Simulationsschritt	Durchschnittsdichte
456	1.00096
457	1.00096
458	1.00097
459	1.00096
460	1.00096
461	1.00096
462	1.00096
463	1.00096
464	1.00096
465	1.00096
466	1.00096
467	1.00096
468	1.00095
469	1.00096
470	1.00096
471	1.00095
472	1.00095
473	1.00096
474	1.00096
475	1.00097
476	1.00098
477	1.00098
478	1.00099
479	1.001
480	1.00099
481	1.001
482	1.001
483	1.00099
484	1.001
485	1.001
486	1.001
487	1.001
488	1.001
489	1.00099
490	1.00099
491	1.00099
492	1.00098
493	1.00098
494	1.00098
495	1.00098
496	1.00098
497	1.00098
498	1.00098
499	1.00098
500	1.00099
501	1.00099
502	1.00099
503	1.00099
504	1.001
505	1.001
506	1.001
507	1.001
508	1.001
509	1.001
510	1.001
511	1.001
512	1.001
513	1.00101
514	1.00101
515	1.00102
516	1.00102
517	1.00103
518	1.00103
519	1.00104
520	1.00105
521	1.00105
522	1.00106
523	1.00107
524	1.00107
525	1.00108
526	1.00108
527	1.00108
528	1.00108
529	1.00108
530	1.00107
531	1.00106
532	1.00106
533	1.00105
534	1.00104
535	1.00104
536	1.00103
537	1.00102
538	1.00101
539	1.001
540	1.00099
541	1.00099
542	1.00099
543	1.00099
544	1.00099
545	1.00099
546	1.00099
547	1.00098
548	1.00099
549	1.00099
550	1.00098
551	1.00098
552	1.00098
553	1.00098
554	1.00098
555	1.00098
556	1.00098
557	1.00097
558	1.00098
559	1.00098
560	1.00098
561	1.00098
562	1.00099
563	1.00099
564	1.001
565	1.00101
566	1.00101
567	1.00102
568	1.00103
569	1.00104
570	1.00105
571	1.00105
572	1.00105
573	1.00106
574	1.00106
575	1.00106
576	1.00106
577	1.00105
578	1.00105
579	1.00104
580	1.00103
581	1.00103
582	1.00102
583	1.00101
584	1.00101
585	1.001
586	1.00099
587	1.00099
588	1.00098
589	1.00097
590	1.00096
591	1.00096
592	1.00096
593	1.00095
594	1.00095
595	1.00095
596	1.00095
597	1.00095
598	1.00095
599	1.00095
600	1.00094
601	1.00094
602	1.00094
603	1.00094
604	1.00093
605	1.00093
606	1.00094
607	1.00094
608	1.00095
609	1.00096
610	1.00097
611	1.00097
612	1.00098
613	1.00099
614	1.00099
615	1.001
616	1.00101
617	1.00102
618	1.00103
619	1.00104
620	1.00104
621	1.00104
622	1.00104
623	1.00104
624	1.00104
625	1.00104
626	1.00104
627	1.00103
628	1.00103
629	1.00102
630	1.00102
631	1.00101
632	1.00101
633	1.001
634	1.00099
635	1.00099
636	1.00098
637	1.00098
638	1.00097
639	1.00097
640	1.00096
641	1.00096
642	1.00096
643	1.00096
644	1.00095
645	1.00095
646	1.00095
647	1.00095
648	1.00095
649	1.00095
650	1.00096
651	1.00096
652	1.00097
653	1.00097
654	1.00098
655	1.00099
656	1.001
657	1.00101
658	1.00101
659	1.00102
660	1.00103
661	1.00104
662	1.00104
663	1.00105
664	1.00106
665	1.00106
666	1.00107
667	1.00107
668	1.00107
669	1.00107
670	1.00107
671	1.00107
672	1.00107
673	1.00107
674	1.00106
675	1.00106
676	1.00106
677	1.00106
678	1.00106
679	1.00105
680	1.00105
681	1.00104
682	1.00104
683	1.00104
684	1.00103
685	1.00103
686	1.00102
687	1.00102
688	1.00101
689	1.00101
690	1.001
691	1.001
692	1.001
693	1.001
694	1.00099
695	1.00099
696	1.00099
697	1.00099
698	1.00099
699	1.00099
700	1.00099
701	1.001
702	1.001
703	1.00101
704	1.00102
705	1.00103
706	1.00104
707	1.00104
708	1.00104
709	1.00105
710	1.00105
711	1.00105
712	1.00105
713	1.00105
714	1.00104
715	1.00104
716	1.00103
717	1.00102
718	1.00102
719	1.00101
720	1.001
721	1.001
722	1.00099
723	1.00099
724	1.00098
725	1.00098
726	1.00098
727	1.00097
728	1.00097
729	1.00097
730	1.00097
731	1.00097
732	1.00097
733	1.00097
734	1.00097
735	1.00097
736	1.00096
737	1.00096
738	1.00096
739	1.00096
740	1.00096
741	1.00096
742	1.00096
743	1.00096
744	1.00096
745	1.00096
746	1.00096
747	1.00097
748	1.00098
749	1.00098
750	1.00099
751	1.001
752	1.00101
753	1.00102
754	1.00102
755	1.00103
756	1.00103
757	1.00104
758	1.00104
759	1.00104
760	1.00103
761	1.00103
762	1.00103
763	1.00102
764	1.00101
765	1.001
766	1.00099
767	1.00099
768	1.00098
769	1.00097
770	1.00097
771	1.00096
772	1.00096
773	1.00096
774	1.00096
775	1.00096
776	1.00096
777	1.00096
778	1.00097
779	1.00097
780	1.00098
781	1.00098
782	1.00099
783	1.001
784	1.001
785	1.001
786	1.00101
787	1.00101
788	1.00101
789	1.00102
790	1.00102
791	1.00102
792	1.00102
793	1.00103
794	1.00103
795	1.00104
796	1.00104
797	1.00104
798	1.00105
799	1.00105
800	1.00105
801	1.00106
802	1.00106
803	1.00106
804	1.00106
805	1.00106
806	1.00106
807	1.00105
808	1.00105
809	1.00104
810	1.00103
811	1.00103
812	1.00102
813	1.00101
814	1.001
815	1.00099
816	1.00099
817	1.00098
818	1.00097
819	1.00097
820	1.00097
821	1.00096
822	1.00096
823	1.00097
824	1.00097
825	1.00097
826	1.00097
827	1.00098
828	1.00098
829	1.00099
830	1.00099
831	1.00099
832	1.00099
833	1.001
834	1.001
835	1.00101
836	1.00101
837	1.00101
838	1.00101
839	1.00101
840	1.00102
841	1.00102
842	1.00102
843	1.00102
844	1.00102
845	1.00102
846	1.00102
847	1.00101
848	1.00101
849	1.00101
850	1.001
851	1.001
852	1.001
853	1.00099
854	1.00099
855	1.00098
856	1.00098
857	1.00097
858	1.00097
859	1.00097
860	1.00096
861	1.00096
862	1.00096
863	1.00095
864	1.00095
865	1.00095
866	1.00095
867	1.00095
868	1.00095
869	1.00095
870	1.00096
871	1.00096
872	1.00096
873	1.00097
874	1.00097
875	1.00097
876	1.00098
877	1.00098
878	1.00099
879	1.00099
880	1.00099
881	1.001
882	1.001
883	1.00101
884	1.00101
885	1.00101
886	1.00102
887	1.00102
888	1.00102
889	1.00102
890	1.00102
891	1.00102
892	1.00102
893	1.00102
894	1.00102
895	1.00101
896	1.00101
897	1.00101
898	1.001
899	1.001
900	1.00099
901	1.00099
902	1.00098
903	1.00098
904	1.00098
905	1.00097
906	1.00097
907	1.00097
908	1.00097
909	1.00096
910	1.00097
911	1.00096
912	1.00097
913	1.00097
914	1.00097
915	1.00097
916	1.00098
917	1.00098
918	1.00098
919	1.00099
920	1.00099
921	1.00099
922	1.00099
923	1.001
924	1.001
925	1.001
926	1.001
927	1.001
928	1.001
929	1.001
930	1.001
931	1.001
932	1.001
933	1.001
934	1.001
935	1.001
936	1.001
937	1.001
938	1.00101
939	1.00101
940	1.00101
941	1.00101
942	1.00101
943	1.00102
944	1.00102
945	1.00102
946	1.00102
947	1.00102
948	1.00102
949	1.00102
950	1.00102
951	1.00102
952	1.00102
953	1.00102
954	1.00102
955	1.00102
956	1.00102
957	1.00102
958	1.00102
959	1.00102
960	1.00102
961	1.00102
962	1.00102
963	1.00103
964	1.00103
965	1.00103
966	1.00104
967	1.00104
968	1.00104
969	1.00104
970	1.00104
971	1.00104
972	1.00104
973	1.00104
974	1.00103
975	1.00103
976	1.00102
977	1.00102
978	1.00102
979	1.00101
980	1.001
981	1.001
982	1.00099
983	1.00098
984	1.00098
985	1.00097
986	1.00097
987	1.00096
988	1.00096
989	1.00095
990	1.00095
991	1.00095
992	1.00095
993	1.00095
994	1.00095
995	1.00095
996	1.00095
997	1.00095
998	1.00095
999	1.00095
1000	1.00096
1001	1.00096
1002	1.00096
1003	1.00097
1004	1.00098
1005	1.00098
1006	1.00099
1007	1.00099
1008	1.001
1009	1.001
1010	1.00101
1011	1.00101
1012	1.00102
