Simulationsschritt	Durchschnittsdichte
0	1.00084
1	1.00084
2	1.00087
3	1.00091
4	1.00102
5	1.00104
6	1.00096
7	1.00087
8	1.00078
9	1.00069
10	1.0006
11	1.00053
12	1.00049
13	1.00052
14	1.00057
15	1.00061
16	1.00065
17	1.00065
18	1.00059
19	1.0005
20	1.00054
21	1.00067
22	1.00076
23	1.00083
24	1.00089
25	1.00096
26	1.00098
27	1.00097
28	1.00096
29	1.00096
30	1.00097
31	1.00098
32	1.00097
33	1.00095
34	1.00093
35	1.00093
36	1.00095
37	1.00098
38	1.00098
39	1.00097
40	1.00097
41	1.00095
42	1.00094
43	1.00091
44	1.00089
45	1.00085
46	1.00082
47	1.00078
48	1.00074
49	1.00075
50	1.00081
51	1.00084
52	1.00088
53	1.00089
54	1.00086
55	1.00078
56	1.00069
57	1.00059
58	1.00054
59	1.00046
60	1.00055
61	1.00063
62	1.00069
63	1.00073
64	1.00076
65	1.00078
66	1.00081
67	1.00084
68	1.00088
69	1.00096
70	1.00098
71	1.00097
72	1.00095
73	1.00092
74	1.00088
75	1.00082
76	1.00075
77	1.00068
78	1.00062
79	1.00058
80	1.00058
81	1.00067
82	1.00073
83	1.00079
84	1.00086
85	1.00094
86	1.00096
87	1.00094
88	1.0009
89	1.00085
90	1.0008
91	1.00073
92	1.00066
93	1.00072
94	1.00074
95	1.00075
96	1.00075
97	1.00077
98	1.00079
99	1.00082
100	1.00086
101	1.00089
102	1.00088
103	1.00084
104	1.0009
105	1.00095
106	1.00097
107	1.00095
108	1.00092
109	1.00092
110	1.00094
111	1.00095
112	1.00098
113	1.00097
114	1.00094
115	1.00096
116	1.00101
117	1.00101
118	1.00098
119	1.00095
120	1.00093
121	1.00094
122	1.00099
123	1.001
124	1.001
125	1.00099
126	1.00099
127	1.00097
128	1.00098
129	1.00097
130	1.00097
131	1.00098
132	1.00098
133	1.00098
134	1.00097
135	1.00099
136	1.00101
137	1.001
138	1.00098
139	1.00096
140	1.00094
141	1.00092
142	1.00091
143	1.00091
144	1.00092
145	1.00095
146	1.00093
147	1.00096
148	1.001
149	1.001
150	1.00096
151	1.00093
152	1.00089
153	1.00085
154	1.00081
155	1.00077
156	1.00069
157	1.00075
158	1.00078
159	1.00083
160	1.00087
161	1.00093
162	1.00093
163	1.0009
164	1.00088
165	1.00083
166	1.00074
167	1.00068
168	1.00071
169	1.00074
170	1.00079
171	1.00084
172	1.00086
173	1.00089
174	1.00092
175	1.00096
176	1.00098
177	1.001
178	1.001
179	1.001
180	1.001
181	1.00099
182	1.00098
183	1.00097
184	1.00096
185	1.00095
186	1.00095
187	1.00095
188	1.00096
189	1.00095
190	1.00098
191	1.00101
192	1.001
193	1.00096
194	1.00093
195	1.00089
196	1.00087
197	1.00085
198	1.0008
199	1.00078
200	1.00077
201	1.00074
202	1.00076
203	1.00079
204	1.00083
205	1.00088
206	1.00095
207	1.00099
208	1.001
209	1.00097
210	1.00093
211	1.0009
212	1.00086
213	1.00084
214	1.00081
215	1.0008
216	1.0008
217	1.00076
218	1.00074
219	1.00077
220	1.00083
221	1.00091
222	1.00098
223	1.001
224	1.00099
225	1.00097
226	1.00096
227	1.00098
228	1.00098
229	1.00098
230	1.00097
231	1.00097
232	1.00098
233	1.001
234	1.00098
235	1.00094
236	1.00089
237	1.00082
238	1.00076
239	1.00071
240	1.00067
241	1.00066
242	1.00065
243	1.00068
244	1.00058
245	1.00069
246	1.00076
247	1.00083
248	1.0009
249	1.00097
