Simulationsschritt	Durchschnittsdichte
0	1.00084
1	1.00082
2	1.0008
3	1.00078
4	1.00076
5	1.00073
6	1.00071
7	1.00069
8	1.00067
9	1.00066
10	1.00064
11	1.00063
12	1.00062
13	1.00062
14	1.00061
15	1.0006
16	1.0006
17	1.0006
18	1.0006
19	1.0006
20	1.00061
21	1.00061
22	1.00062
23	1.00063
24	1.00064
25	1.00065
26	1.00067
27	1.00068
28	1.0007
29	1.00072
30	1.00073
31	1.00074
32	1.00075
33	1.00075
34	1.00075
35	1.00075
36	1.00074
37	1.00074
38	1.00073
39	1.00072
40	1.00071
41	1.0007
42	1.00068
43	1.00066
44	1.00064
45	1.00062
46	1.0006
47	1.00058
48	1.00055
49	1.00054
50	1.00054
51	1.00055
52	1.00056
53	1.00056
54	1.00057
55	1.00058
56	1.00058
57	1.00059
58	1.00059
59	1.0006
60	1.0006
61	1.0006
62	1.0006
63	1.0006
64	1.0006
65	1.0006
66	1.0006
67	1.0006
68	1.0006
69	1.0006
70	1.0006
71	1.0006
72	1.00061
73	1.00061
74	1.00062
75	1.00063
76	1.00063
77	1.00062
78	1.00061
79	1.0006
80	1.00059
81	1.00057
82	1.00056
83	1.00055
84	1.00055
85	1.00055
86	1.00054
87	1.00055
88	1.00055
89	1.00055
90	1.00055
91	1.00056
92	1.00056
93	1.00057
94	1.00058
95	1.00058
96	1.00059
97	1.0006
98	1.0006
99	1.00061
100	1.00062
101	1.00063
102	1.00064
103	1.00065
104	1.00066
105	1.00067
106	1.00068
107	1.00069
108	1.00069
109	1.0007
110	1.0007
111	1.0007
112	1.0007
113	1.00071
114	1.00071
115	1.00072
116	1.00072
117	1.00072
118	1.00072
119	1.00071
120	1.00071
121	1.0007
122	1.00069
123	1.00069
124	1.00068
125	1.00067
126	1.00066
127	1.00066
128	1.00066
129	1.00066
130	1.00066
131	1.00066
132	1.00067
133	1.00067
134	1.00068
135	1.00068
136	1.00069
137	1.00069
138	1.00069
139	1.0007
140	1.0007
141	1.00071
142	1.00071
143	1.00071
144	1.00071
145	1.0007
146	1.0007
147	1.00069
148	1.00069
149	1.00068
150	1.00067
151	1.00066
152	1.00065
153	1.00065
154	1.00064
155	1.00063
156	1.00062
157	1.00061
158	1.00061
159	1.0006
160	1.0006
161	1.00059
162	1.00059
163	1.00059
164	1.00058
165	1.00058
166	1.00058
167	1.00058
168	1.00058
169	1.00057
170	1.00057
171	1.00057
172	1.00057
173	1.00057
174	1.00056
175	1.00056
176	1.00056
177	1.00055
178	1.00055
179	1.00056
180	1.00056
181	1.00057
182	1.00058
183	1.00058
184	1.00059
