Simulationsschritt	Durchschnittsdichte
0	1.00084
1	1.00084
2	1.00084
3	1.00085
4	1.00089
5	1.00093
6	1.00102
7	1.00098
8	1.00093
9	1.00086
10	1.00081
11	1.00082
12	1.00084
13	1.00084
14	1.0008
15	1.00077
16	1.00073
17	1.00069
18	1.00065
19	1.00063
20	1.00062
21	1.00064
22	1.00068
23	1.00074
24	1.00078
25	1.00084
26	1.0009
27	1.00093
28	1.00091
29	1.00083
30	1.00075
31	1.00073
32	1.00071
33	1.00063
34	1.00054
35	1.00053
36	1.00048
37	1.00049
38	1.00052
39	1.0006
40	1.00066
41	1.0007
42	1.00074
43	1.00076
44	1.00076
45	1.00076
46	1.00075
47	1.00074
48	1.00077
49	1.00082
50	1.00085
51	1.00086
52	1.00086
53	1.00087
54	1.00087
55	1.00089
56	1.00088
57	1.00089
58	1.00089
59	1.00088
60	1.00087
61	1.00086
62	1.00088
63	1.0009
64	1.00091
65	1.00087
66	1.00079
67	1.00066
68	1.00056
69	1.00049
70	1.00044
71	1.0004
72	1.00038
73	1.00041
74	1.00036
75	1.00036
76	1.00034
77	1.00033
78	1.00033
79	1.00031
80	1.00031
81	1.00031
82	1.00032
83	1.00034
84	1.00037
85	1.00043
86	1.00047
87	1.00055
88	1.00064
89	1.00071
90	1.00075
91	1.00076
92	1.00077
93	1.00076
94	1.00076
95	1.00076
96	1.00078
97	1.00077
98	1.00077
99	1.00082
100	1.00085
101	1.00087
102	1.0009
103	1.0009
104	1.00094
105	1.00096
106	1.00097
107	1.00092
108	1.00085
109	1.00077
110	1.00069
111	1.00061
112	1.00054
113	1.00047
114	1.00042
115	1.0004
116	1.00043
117	1.00035
118	1.00033
119	1.00034
120	1.00037
121	1.00041
122	1.00045
123	1.0005
124	1.00055
125	1.0006
126	1.00064
127	1.00067
128	1.00069
129	1.00071
130	1.00073
131	1.00075
132	1.00078
133	1.00081
134	1.00084
135	1.00088
136	1.00093
137	1.00098
138	1.00099
139	1.00098
140	1.00096
141	1.00095
142	1.00093
143	1.00093
144	1.00094
145	1.00095
146	1.00095
147	1.00096
148	1.00096
149	1.00095
150	1.00095
151	1.00097
152	1.00097
153	1.00095
154	1.00092
155	1.00089
156	1.00087
157	1.00084
158	1.0008
159	1.00077
160	1.00075
161	1.00073
162	1.00072
163	1.0007
164	1.00066
165	1.00071
166	1.00074
167	1.00077
168	1.0008
169	1.00083
170	1.00086
171	1.0009
172	1.00091
173	1.0009
174	1.00088
175	1.00088
176	1.00085
177	1.00085
178	1.00091
179	1.00092
180	1.00089
181	1.00088
182	1.00087
183	1.00086
184	1.00084
185	1.00081
186	1.00077
187	1.00073
188	1.00068
189	1.00065
190	1.00062
191	1.00055
192	1.00052
193	1.00054
194	1.00057
195	1.00061
196	1.00066
197	1.0007
198	1.00074
199	1.00077
200	1.0008
201	1.00082
202	1.00084
203	1.00086
204	1.0009
205	1.00094
206	1.00097
207	1.00098
208	1.00098
209	1.00098
210	1.00097
211	1.00097
212	1.00096
213	1.00096
214	1.00097
215	1.00098
216	1.00098
217	1.00098
218	1.00098
219	1.00098
220	1.001
221	1.001
222	1.00097
223	1.00093
224	1.0009
225	1.00086
226	1.00081
227	1.00077
228	1.00073
229	1.00068
230	1.00063
231	1.00059
232	1.00057
233	1.00059
234	1.00065
235	1.00065
236	1.00065
237	1.0007
238	1.00074
239	1.00077
240	1.00081
241	1.00088
242	1.00094
243	1.00096
244	1.00097
245	1.00098
246	1.00095
247	1.0009
248	1.00088
249	1.00087
250	1.00087
251	1.00088
252	1.00092
253	1.00094
254	1.00095
255	1.00096
256	1.00095
257	1.00097
258	1.00098
259	1.00098
260	1.00098
261	1.00096
262	1.00094
263	1.00091
264	1.00089
265	1.00089
266	1.00088
267	1.0009
268	1.00092
269	1.00095
270	1.00097
271	1.00098
272	1.00098
273	1.00097
274	1.00096
275	1.00096
276	1.00093
277	1.00091
278	1.00089
279	1.00085
280	1.00084
281	1.00084
282	1.00082
283	1.00082
284	1.00083
285	1.00084
286	1.00086
287	1.0009
288	1.00094
289	1.00096
290	1.00098
291	1.00097
292	1.00095
293	1.00092
294	1.0009
295	1.00089
296	1.00089
297	1.0009
298	1.0009
299	1.00092
300	1.00091
301	1.00089
302	1.00089
303	1.00091
304	1.00093
305	1.00095
306	1.00096
307	1.00097
308	1.00097
309	1.00096
310	1.00096
311	1.00095
312	1.00094
313	1.00094
314	1.00092
315	1.0009
316	1.00088
317	1.00087
318	1.00088
319	1.0009
320	1.00092
321	1.00093
322	1.00095
323	1.00096
324	1.00095
325	1.00095
326	1.00091
327	1.00089
328	1.00083
329	1.00082
330	1.00084
331	1.00084
332	1.00086

