Iteration	Durchschnittsdichte
455	0.990861
456	0.990839
457	0.990819
458	0.990797
459	0.990777
460	0.990754
461	0.990735
462	0.990714
463	0.990695
464	0.990675
465	0.990657
466	0.990639
467	0.990624
468	0.990612
469	0.990603
470	0.9906
471	0.990598
472	0.990602
473	0.990611
474	0.990622
475	0.99064
476	0.99066
477	0.990683
478	0.990707
479	0.990732
480	0.990759
481	0.990786
482	0.990816
483	0.990844
484	0.990872
485	0.990896
486	0.990919
487	0.99094
488	0.990959
489	0.990981
490	0.991
491	0.99102
492	0.991042
493	0.990854
494	0.991087
495	0.991109
496	0.991131
497	0.991152
498	0.991172
499	0.991192
500	0.991205
501	0.991217
502	0.991223
503	0.991227
504	0.991226
505	0.991222
506	0.991211
507	0.991196
508	0.991176
509	0.991149
510	0.990976
511	0.991097
512	0.991068
513	0.99104
514	0.991011
515	0.990984
516	0.990958
517	0.990932
518	0.990908
519	0.990677
520	0.990862
521	0.990839
522	0.990818
523	0.990796
524	0.990776
525	0.990758
526	0.99074
527	0.99072
528	0.990699
529	0.990674
530	0.99065
531	0.990627
532	0.990601
533	0.990579
534	0.990553
535	0.990533
536	0.990514
537	0.990497
538	0.990483
539	0.990474
540	0.99047
541	0.990471
542	0.990476
543	0.990486
544	0.990501
545	0.99052
546	0.990541
547	0.990565
548	0.990594
549	0.990623
550	0.990656
551	0.990687
552	0.990719
553	0.99075
554	0.990782
555	0.990811
556	0.990838
557	0.99086
558	0.990879
559	0.990895
560	0.990913
561	0.990928
562	0.990943
563	0.99096
564	0.990975
565	0.990993
566	0.991008
567	0.99102
568	0.991033
569	0.991047
570	0.991062
571	0.991081
572	0.991098
573	0.991113
574	0.991126
575	0.991133
576	0.991134
577	0.991129
578	0.991117
579	0.991101
580	0.991084
581	0.991063
582	0.991041
583	0.99102
584	0.990997
585	0.990973
586	0.990947
587	0.990919
588	0.990893
589	0.990869
590	0.990847
591	0.990822
592	0.990801
593	0.990781
594	0.990758
595	0.990739
596	0.99072
597	0.990702
