Simulationsschritt	Durchschnittsdichte
0	1.00084
1	1.00083
2	1.00082
3	1.00081
4	1.00081
5	1.00081
6	1.00082
7	1.00084
8	1.00087
9	1.0009
10	1.00095
11	1.00098
12	1.00098
13	1.00096
14	1.00095
15	1.00088
16	1.00074
17	1.00058
18	1.00041
19	1.00027
20	1.00016
21	1.00009
22	1.00007
23	1.00012
24	1.00018
25	1.00024
26	1.00031
27	1.00034
28	1.00035
29	1.00037
30	1.00038
31	1.00038
32	1.00039
33	1.00038
34	1.00038
35	1.00038
36	1.00038
37	1.00037
38	1.00037
39	1.00038
40	1.00041
41	1.00045
42	1.00049
43	1.00052
44	1.00054
45	1.00055
46	1.00055
47	1.00055
48	1.00054
49	1.00051
50	1.00049
51	1.00046
52	1.00042
53	1.00041
54	1.00039
55	1.00039
56	1.00039
57	1.00041
58	1.00044
59	1.00049
60	1.00054
61	1.00059
62	1.00065
63	1.00072
64	1.00075
65	1.00076
66	1.00077
67	1.00077
68	1.00077
69	1.0008
70	1.0008
71	1.00081
72	1.00083
73	1.00085
74	1.00087
75	1.0009
76	1.00094
77	1.00097
78	1.00097
79	1.00096
80	1.00094
81	1.00093
82	1.00092
83	1.0009
84	1.00087
85	1.00082
86	1.00077
87	1.00073
88	1.00069
89	1.00066
90	1.00064
91	1.00064
92	1.00065
93	1.00067
94	1.0007
95	1.00073
96	1.00075
97	1.00077
98	1.00079
99	1.00082
100	1.00084
101	1.00087
102	1.0009
103	1.00092
104	1.00094
105	1.00096
106	1.00096
107	1.00097
108	1.00097
109	1.00098
110	1.00097
111	1.00097
112	1.00097
113	1.00096
114	1.00096
115	1.00095
116	1.00094
117	1.00093
118	1.00093
119	1.00094
120	1.00094
121	1.00095
122	1.00096
123	1.00097
124	1.00098
125	1.00097
126	1.00097
127	1.00097
128	1.00097
129	1.00097
130	1.00097
131	1.00098
132	1.00098
133	1.00098
134	1.00097
135	1.00096
136	1.00096
137	1.00095
138	1.00094
139	1.00094
140	1.00095
141	1.00097
142	1.00098
143	1.00098
144	1.00097
145	1.00096
146	1.00095
147	1.00094
148	1.00093
149	1.0009
150	1.00086
151	1.00081
152	1.00076
153	1.00071
154	1.00068
155	1.00064
156	1.00062
157	1.0006
158	1.00061
159	1.00065
160	1.00067
161	1.00061
162	1.00062
163	1.00062
164	1.00064
165	1.00066
166	1.00068
167	1.0007
168	1.00069
169	1.00068
170	1.00062
171	1.00051
172	1.00037
173	1.00022
174	1.00011
175	1.0001
176	1.00011
177	1.00013
178	1.00015
179	1.00019
180	1.00023
181	1.00029
182	1.00035
183	1.0004
184	1.00045
185	1.00049
186	1.00052
187	1.00057
188	1.00061
189	1.00063
190	1.00064
191	1.00066
192	1.00068
193	1.00069
194	1.00071
195	1.00074
196	1.00076
197	1.00077
198	1.00078
199	1.00079
200	1.0008
201	1.00081
202	1.00081
203	1.00082
204	1.00083
205	1.00084
206	1.00084
207	1.00085
208	1.00086
209	1.00086
210	1.00086
