Simulationsschritt	Durchschnittsdichte
454	1.00105
455	1.00104
456	1.00103
457	1.00102
458	1.00101
459	1.001
460	1.001
461	1.00099
462	1.00099
463	1.00099
464	1.00098
465	1.00098
466	1.00097
467	1.00097
468	1.00096
469	1.00096
470	1.00095
471	1.00094
472	1.00093
473	1.00093
474	1.00093
475	1.00093
476	1.00092
477	1.00091
478	1.00091
479	1.0009
480	1.0009
481	1.00089
482	1.00088
483	1.00088
484	1.00087
485	1.00086
486	1.00085
487	1.00083
488	1.00082
489	1.00081
490	1.0008
491	1.0008
492	1.0008
493	1.00081
494	1.00081
495	1.00081
496	1.00081
497	1.00081
498	1.0008
499	1.0008
500	1.00079
501	1.00079
502	1.00078
503	1.00077
504	1.00077
505	1.00076
506	1.00075
507	1.00074
508	1.00073
509	1.00073
510	1.00073
511	1.00073
512	1.00072
513	1.00072
514	1.00072
515	1.00071
516	1.00071
517	1.00071
518	1.00071
519	1.00072
520	1.00073
521	1.00074
522	1.00074
523	1.00074
524	1.00073
525	1.00073
526	1.00072
527	1.00071
528	1.0007
529	1.0007
530	1.00071
531	1.00071
532	1.00071
533	1.00072
534	1.00072
535	1.00073
536	1.00073
537	1.00074
538	1.00075
539	1.00075
540	1.00076
541	1.00077
542	1.00079
543	1.0008
544	1.00081
545	1.00081
546	1.00082
547	1.00083
548	1.00084
549	1.00085
550	1.00086
551	1.00087
552	1.00087
553	1.00088
554	1.00088
555	1.00089
556	1.00089
557	1.0009
558	1.00091
559	1.00091
560	1.00091
561	1.00091
562	1.00091
563	1.0009
564	1.00089
565	1.00089
566	1.00088
567	1.00088
568	1.00087
569	1.00086
570	1.00085
571	1.00085
572	1.00084
573	1.00084
574	1.00083
575	1.00083
576	1.00082
577	1.00082
578	1.00083
579	1.00083
580	1.00083
581	1.00083
582	1.00083
583	1.00083
584	1.00082
585	1.00082
586	1.00082
587	1.00082
588	1.00083
589	1.00083
590	1.00083
591	1.00083
592	1.00084
593	1.00085
594	1.00085
595	1.00085
596	1.00085
597	1.00086
598	1.00087
599	1.00088
600	1.00088
601	1.00089
602	1.00089
603	1.00089
604	1.00088
605	1.00087
606	1.00087
607	1.00087
608	1.00087
609	1.00087
610	1.00087
611	1.00088
612	1.00088
613	1.00087
614	1.00087
615	1.00087
616	1.00086
617	1.00086
618	1.00086
619	1.00086
620	1.00085
621	1.00084
622	1.00084
623	1.00084
624	1.00084
625	1.00084
626	1.00084
627	1.00084
628	1.00085
629	1.00086
630	1.00087
631	1.00088
632	1.00088
633	1.00088
634	1.00088
635	1.00088
636	1.00088
637	1.00088
638	1.00089
639	1.0009
640	1.0009
641	1.00091
642	1.00091
643	1.00092
644	1.00092
645	1.00092
646	1.00093
647	1.00093
648	1.00093
649	1.00093
650	1.00093
651	1.00093
652	1.00094
653	1.00094
654	1.00096
655	1.00097
656	1.00098
657	1.001
658	1.00101
659	1.00102
660	1.00103
661	1.00104
662	1.00105
663	1.00105
664	1.00105
665	1.00104
666	1.00104
667	1.00104
668	1.00104
669	1.00104
670	1.00104
671	1.00104
672	1.00104
673	1.00105
674	1.00105
675	1.00104
676	1.00105
677	1.00105
678	1.00105
679	1.00105
680	1.00106
681	1.00107
682	1.00107
683	1.00107
684	1.00107
685	1.00106
686	1.00106
687	1.00106
688	1.00106
689	1.00106
690	1.00106
691	1.00107
692	1.00107
693	1.00107
694	1.00107
695	1.00107
696	1.00107
697	1.00107
698	1.00107
699	1.00107
700	1.00107
701	1.00107
702	1.00106
703	1.00106
704	1.00106
705	1.00106
706	1.00106
707	1.00106
708	1.00106
709	1.00105
710	1.00106
711	1.00105
712	1.00105
713	1.00105
714	1.00105
715	1.00106
716	1.00106
717	1.00106
718	1.00105
719	1.00105
720	1.00105
721	1.00105
722	1.00104
723	1.00105
724	1.00105
725	1.00105
726	1.00105
727	1.00106
728	1.00106
729	1.00108
730	1.00109
731	1.00109
732	1.0011
733	1.0011
734	1.0011
735	1.0011
736	1.0011
737	1.00108
738	1.00107
739	1.00106
740	1.00106
741	1.00106
742	1.00105
743	1.00105
744	1.00105
745	1.00105
746	1.00105
747	1.00104
748	1.00104
749	1.00104
750	1.00104
751	1.00104
752	1.00103
753	1.00102
754	1.00102
755	1.00101
756	1.00101
757	1.00101
758	1.00101
759	1.00101
760	1.00101
761	1.00101
762	1.00101
763	1.00101
764	1.001
765	1.001
766	1.001
767	1.001
768	1.00099
769	1.00098
770	1.00098
771	1.00097
772	1.00096
773	1.00095
774	1.00094
775	1.00093
776	1.00092
777	1.00091
778	1.0009
779	1.0009
780	1.00089
781	1.00089
782	1.00089
783	1.00089
784	1.00089
785	1.00088
786	1.00088
787	1.00087
788	1.00086
789	1.00086
790	1.00086
791	1.00086
792	1.00086
793	1.00086
794	1.00085
795	1.00086
796	1.00086
797	1.00086
798	1.00087
799	1.00087
800	1.00087
801	1.00087
802	1.00088
803	1.00088
804	1.00089
805	1.0009
806	1.0009
807	1.00091
808	1.00091
809	1.00092
810	1.00092
811	1.00093
812	1.00094
813	1.00095
814	1.00095
815	1.00095
816	1.00096
817	1.00096
818	1.00096
819	1.00097
820	1.00097
821	1.00097
822	1.00096
823	1.00095
824	1.00094
825	1.00094
826	1.00093
827	1.00092
828	1.00092
829	1.00092
830	1.00092
831	1.00092
832	1.00092
833	1.00091
834	1.00091
835	1.00091
836	1.0009
837	1.0009
838	1.00089
839	1.00089
840	1.0009
841	1.0009
842	1.00089
843	1.00089
844	1.00089
845	1.00089
846	1.00089
847	1.00089
848	1.00089
849	1.00089
850	1.00089
851	1.0009
852	1.0009
853	1.00091
854	1.00091
855	1.00091
856	1.00092
857	1.00093
858	1.00093
859	1.00093
860	1.00093
861	1.00093
862	1.00093
863	1.00093
864	1.00092
865	1.00092
866	1.00092
867	1.00092
868	1.00092
869	1.00092
870	1.00092
871	1.00092
872	1.00093
873	1.00094
874	1.00094
875	1.00095
876	1.00095
877	1.00096
878	1.00097
879	1.00097
880	1.00097
881	1.00097
882	1.00097
883	1.00097
884	1.00097
885	1.00097
886	1.00098
887	1.00098
888	1.00099
889	1.00099
890	1.00099
891	1.00099
892	1.00099
893	1.00099
894	1.001
895	1.001
896	1.001
897	1.00101
898	1.00101
899	1.00101
900	1.00101
901	1.00101
902	1.00101
903	1.001
904	1.001
905	1.001
906	1.001
907	1.00099
908	1.00099
909	1.00099
910	1.00099
911	1.00098
912	1.00098
913	1.00098
914	1.00098
915	1.00098
916	1.00098
917	1.00099
918	1.001
919	1.001
920	1.00101
921	1.00101
922	1.00101
923	1.00101
924	1.00101
925	1.00101
926	1.00101
927	1.001
928	1.001
929	1.00099
930	1.00098
931	1.00098
932	1.00098
933	1.00098
934	1.00099
935	1.001
936	1.001
937	1.001
938	1.001
939	1.001
940	1.00101
941	1.00101
942	1.00101
943	1.00101
944	1.00101
945	1.00102
946	1.00102
947	1.00103
948	1.00103
949	1.00103
950	1.00103
951	1.00103
952	1.00103
953	1.00103
954	1.00103
955	1.00104
956	1.00104
957	1.00104
958	1.00105
959	1.00105
960	1.00105
961	1.00106
962	1.00106
963	1.00107
964	1.00107
965	1.00107
966	1.00108
967	1.00108
968	1.00109
969	1.0011
970	1.00111
971	1.00111
972	1.00111
973	1.00111
974	1.00112
975	1.00112
976	1.00112
977	1.00112
978	1.00113
979	1.00113
980	1.00113
981	1.00114
982	1.00114
983	1.00114
984	1.00115
985	1.00115
986	1.00115
987	1.00116
988	1.00116
989	1.00116
990	1.00115
991	1.00115
992	1.00115
993	1.00114
994	1.00114
995	1.00113
996	1.00113
997	1.00112
998	1.00112
999	1.00111
1000	1.00111
1001	1.0011
1002	1.00109
1003	1.00109
1004	1.00108
1005	1.00108
1006	1.00107
1007	1.00107
1008	1.00106
1009	1.00105
1010	1.00104
1011	1.00103
1012	1.00103
1013	1.00102
1014	1.00102
1015	1.00102
1016	1.00101
1017	1.00101
1018	1.00101
1019	1.001
1020	1.001
1021	1.001
1022	1.001
1023	1.001
1024	1.001
1025	1.00099
1026	1.00099
1027	1.00098
1028	1.00098
1029	1.00098
1030	1.00097
1031	1.00097
1032	1.00097
1033	1.00097
1034	1.00097
1035	1.00097
1036	1.00097
1037	1.00098
1038	1.00098
1039	1.00098
1040	1.00098
1041	1.00098
1042	1.00099
1043	1.00098
1044	1.00099
1045	1.00099
1046	1.00099
1047	1.00099
1048	1.00099
1049	1.001
1050	1.001
1051	1.001
1052	1.001
1053	1.001
1054	1.001
1055	1.00101
1056	1.00101
1057	1.00101
1058	1.00101
1059	1.00101
1060	1.00102
1061	1.00102
1062	1.00102
1063	1.00102
1064	1.00102
1065	1.00101
1066	1.00101
1067	1.00101
1068	1.00101
1069	1.00101
1070	1.00101
1071	1.001
1072	1.001
1073	1.001
1074	1.00099
1075	1.00099
1076	1.00098
1077	1.00097
1078	1.00097
1079	1.00096
1080	1.00096
1081	1.00095
1082	1.00095
1083	1.00095
1084	1.00094
1085	1.00094
1086	1.00093
1087	1.00093
1088	1.00093
1089	1.00092
1090	1.00092
1091	1.00091
1092	1.00091
1093	1.0009
1094	1.0009
1095	1.0009
1096	1.0009
1097	1.00089
1098	1.00089
1099	1.00089
1100	1.00089
1101	1.00089
1102	1.00089
1103	1.00089
1104	1.00089
1105	1.00089
1106	1.00089
1107	1.00089
1108	1.0009
1109	1.0009
1110	1.0009
1111	1.0009
1112	1.0009
1113	1.0009
1114	1.0009
1115	1.0009
1116	1.0009
1117	1.0009
1118	1.0009
1119	1.0009
1120	1.0009
1121	1.00089
1122	1.00089
1123	1.0009
1124	1.0009
1125	1.0009
1126	1.00091
1127	1.00091
1128	1.00091
1129	1.00092
1130	1.00092
1131	1.00092
1132	1.00092
1133	1.00093
1134	1.00093
1135	1.00093
1136	1.00093
1137	1.00094
1138	1.00094
1139	1.00094
1140	1.00095
1141	1.00095
1142	1.00095
1143	1.00095
1144	1.00096
1145	1.00096
1146	1.00096
1147	1.00096
1148	1.00097
1149	1.00097
1150	1.00097
1151	1.00097
1152	1.00097
1153	1.00097
1154	1.00098
1155	1.00098
1156	1.00098
1157	1.00098
1158	1.00098
1159	1.00098
1160	1.00099
1161	1.00099
1162	1.00099
1163	1.00099
1164	1.00099
1165	1.00099
1166	1.00099
1167	1.00099
1168	1.00099
1169	1.00099
1170	1.00099
1171	1.001
1172	1.001
1173	1.001
1174	1.001
1175	1.001
1176	1.001
1177	1.001
1178	1.001
